time,open,high,low,close,volume
2023-09-15 17:15:00+00:00,4457.23000,4457.73000,4449.23000,4450.23000,1044.00000
2023-09-15 17:30:00+00:00,4449.98000,4457.73000,4445.98000,4456.98000,1298.00000
2023-09-15 17:45:00+00:00,4456.73000,4457.73000,4454.23000,4455.73000,940.00000
2023-09-15 18:00:00+00:00,4455.98000,4455.98000,4449.73000,4449.73000,1036.00000
2023-09-15 18:15:00+00:00,4449.48000,4451.98000,4447.73000,4448.73000,794.00000
2023-09-15 18:30:00+00:00,4448.48000,4453.73000,4447.73000,4452.48000,712.00000
2023-09-15 18:45:00+00:00,4452.23000,4454.98000,4449.48000,4454.73000,782.00000
2023-09-15 19:00:00+00:00,4454.48000,4454.60000,4448.73000,4452.23000,870.00000
2023-09-15 19:15:00+00:00,4452.48000,4454.98000,4450.48000,4452.98000,916.00000
2023-09-15 19:30:00+00:00,4453.48000,4455.73000,4446.73000,4447.48000,1000.00000
2023-09-15 19:45:00+00:00,4447.23000,4451.23000,4445.98000,4449.20000,1668.00000
2023-09-15 20:00:00+00:00,4448.95000,4453.45000,4447.95000,4452.95000,540.00000
2023-09-15 20:15:00+00:00,4452.70000,4452.95000,4450.70000,4451.70000,168.00000
2023-09-15 20:30:00+00:00,4451.95000,4452.70000,4451.70000,4452.45000,70.00000
2023-09-15 20:45:00+00:00,4452.57000,4453.07000,4449.95000,4450.20000,126.00000
2023-09-17 22:00:00+00:00,4452.58000,4456.33000,4451.45000,4455.83000,538.00000
2023-09-17 22:15:00+00:00,4455.58000,4456.33000,4455.33000,4456.20000,96.00000
2023-09-17 22:30:00+00:00,4456.33000,4457.08000,4455.83000,4456.83000,154.00000
2023-09-17 22:45:00+00:00,4456.58000,4457.08000,4456.33000,4456.83000,84.00000
2023-09-17 23:00:00+00:00,4456.58000,4456.83000,4456.08000,4456.58000,124.00000
2023-09-17 23:15:00+00:00,4456.33000,4456.58000,4455.58000,4456.58000,102.00000
2023-09-17 23:30:00+00:00,4456.83000,4457.58000,4456.33000,4457.33000,104.00000
2023-09-17 23:45:00+00:00,4457.45000,4459.33000,4457.08000,4458.83000,202.00000
2023-09-18 00:00:00+00:00,4458.58000,4460.08000,4458.58000,4458.83000,128.00000
2023-09-18 00:15:00+00:00,4459.08000,4459.08000,4456.83000,4457.33000,186.00000
2023-09-18 00:30:00+00:00,4457.58000,4458.83000,4457.33000,4458.58000,146.00000
2023-09-18 00:45:00+00:00,4458.33000,4459.58000,4458.08000,4458.58000,190.00000
2023-09-18 01:00:00+00:00,4458.83000,4459.08000,4457.83000,4458.33000,166.00000
2023-09-18 01:15:00+00:00,4458.08000,4458.33000,4456.83000,4457.58000,218.00000
