time,open,high,low,close,volume
2023-09-18 08:45:00+00:00,3743.1,3752.1,3727.6,3730.1,296.0
2023-09-18 09:00:00+00:00,3729.6,3731.1,3714.6,3717.1,224.0
2023-09-18 09:15:00+00:00,3716.1,3717.1,3697.1,3697.1,332.0
2023-09-18 09:30:00+00:00,3698.1,3707.6,3698.1,3705.6,212.0
2023-09-18 09:45:00+00:00,3706.1,3706.1,3695.6,3699.1,186.0
2023-09-18 10:00:00+00:00,3699.6,3700.1,3684.1,3684.6,256.0
2023-09-18 10:15:00+00:00,3684.1,3685.6,3674.1,3679.1,186.0
2023-09-18 10:30:00+00:00,3678.6,3679.6,3674.1,3675.6,178.0
2023-09-18 10:45:00+00:00,3675.1,3677.6,3673.6,3677.1,106.0
2023-09-18 11:00:00+00:00,3676.6,3685.6,3674.6,3682.6,156.0
2023-09-18 11:15:00+00:00,3682.1,3683.6,3679.1,3680.1,112.0
2023-09-18 11:30:00+00:00,3680.6,3682.1,3676.6,3682.1,100.0
2023-09-18 11:45:00+00:00,3681.6,3682.1,3671.1,3679.6,196.0
2023-09-18 12:00:00+00:00,3678.6,3691.1,3669.6,3685.6,326.0
2023-09-18 12:15:00+00:00,3687.1,3687.1,3675.6,3678.6,244.0
2023-09-18 12:30:00+00:00,3680.1,3685.1,3676.1,3676.6,160.0
2023-09-18 12:45:00+00:00,3676.1,3680.6,3673.6,3678.6,104.0
2023-09-18 13:00:00+00:00,3679.1,3681.6,3670.6,3674.6,204.0
2023-09-18 13:15:00+00:00,3677.1,3681.6,3672.6,3678.6,234.0
2023-09-18 13:30:00+00:00,3679.6,3680.6,3668.6,3671.6,362.0
2023-09-18 13:45:00+00:00,3672.6,3677.1,3634.6,3637.6,512.0
2023-09-18 14:00:00+00:00,3637.1,3640.6,3625.1,3629.6,528.0
2023-09-18 14:15:00+00:00,3630.1,3645.1,3625.6,3626.6,378.0
2023-09-18 14:30:00+00:00,3626.1,3632.1,3619.6,3626.6,298.0
2023-09-18 14:45:00+00:00,3626.1,3642.6,3626.1,3631.1,320.0
2023-09-18 15:00:00+00:00,3632.1,3633.6,3623.6,3626.6,250.0
2023-09-18 15:15:00+00:00,3625.6,3626.6,3619.6,3620.6,288.0
2023-09-18 15:30:00+00:00,3619.6,3621.6,3611.6,3617.6,342.0
